District,Year,Month,Rainfall_mm,Rainfall_lag_1,Rainfall_lag_2,Rainfall_lag_3,Rainfall_3mo_sum
Belagavi,2018,1,0.34,,,,0.0
Belagavi,2018,2,0.48,0.34,,,0.34
Belagavi,2018,3,8.1,0.48,0.34,,0.8200000000000000
Belagavi,2018,4,13.66,8.1,0.48,0.34,8.92
Belagavi,2018,5,88.99,13.66,8.1,0.48,22.24
Belagavi,2018,6,449.83,88.99,13.66,8.1,110.75000000000000
Belagavi,2018,7,448.42,449.83,88.99,13.66,552.4800000000000
Belagavi,2018,8,223.24,448.42,449.83,88.99,987.24
Belagavi,2018,9,126.24,223.24,448.42,449.83,1121.49
Belagavi,2018,10,51.47,126.24,223.24,448.42,797.9000000000000
Belagavi,2018,11,16.11,51.47,126.24,223.24,400.95
Belagavi,2018,12,3.46,16.11,51.47,126.24,193.82
Belagavi,2019,1,0.0,3.46,16.11,51.47,71.04000000000001
Belagavi,2019,2,0.0,0.0,3.46,16.11,19.57
Belagavi,2019,3,8.51,0.0,0.0,3.46,3.46
Belagavi,2019,4,19.16,8.51,0.0,0.0,8.51
Belagavi,2019,5,3.8,19.16,8.51,0.0,27.67
Belagavi,2019,6,251.3,3.8,19.16,8.51,31.47
Belagavi,2019,7,536.71,251.3,3.8,19.16,274.25999999999999
Belagavi,2019,8,822.13,536.71,251.3,3.8,791.81
Belagavi,2019,9,329.51,822.13,536.71,251.3,1610.14
Belagavi,2019,10,331.28,329.51,822.13,536.71,1688.35
Belagavi,2019,11,14.81,331.28,329.51,822.13,1482.92
Belagavi,2019,12,2.28,14.81,331.28,329.51,675.6000000000000
Belagavi,2020,1,0.23,2.28,14.81,331.28,348.37000000000000
Belagavi,2020,2,0.0,0.23,2.28,14.81,17.32
Belagavi,2020,3,14.15,0.0,0.23,2.28,2.51
Belagavi,2020,4,35.42,14.15,0.0,0.23,14.38
Belagavi,2020,5,28.22,35.42,14.15,0.0,49.57
Belagavi,2020,6,407.91,28.22,35.42,14.15,77.79
Belagavi,2020,7,508.03,407.91,28.22,35.42,471.55
Belagavi,2020,8,618.2,508.03,407.91,28.22,944.1600000000000
Belagavi,2020,9,375.14,618.2,508.03,407.91,1534.14
Belagavi,2020,10,252.1,375.14,618.2,508.03,1501.37
Belagavi,2020,11,0.3,252.1,375.14,618.2,1245.44
Belagavi,2020,12,2.62,0.3,252.1,375.14,627.54
Belagavi,2021,1,9.55,2.62,0.3,252.1,255.02000000000001
Belagavi,2021,2,9.35,9.55,2.62,0.3,12.470000000000001
Belagavi,2021,3,2.34,9.35,9.55,2.62,21.52
Belagavi,2021,4,30.21,2.34,9.35,9.55,21.239999999999998
Belagavi,2021,5,247.17,30.21,2.34,9.35,41.9
Belagavi,2021,6,500.07,247.17,30.21,2.34,279.72000000000003
Belagavi,2021,7,693.98,500.07,247.17,30.21,777.45
Belagavi,2021,8,130.63,693.98,500.07,247.17,1441.22
Belagavi,2021,9,207.25,130.63,693.98,500.07,1324.68
Belagavi,2021,10,129.2,207.25,130.63,693.98,1031.8599999999999
Belagavi,2021,11,87.11,129.2,207.25,130.63,467.08
Belagavi,2021,12,63.67,87.11,129.2,207.25,423.56
Belagavi,2022,1,0.23,63.67,87.11,129.2,279.98
Belagavi,2022,2,0.0,0.23,63.67,87.11,151.01
Belagavi,2022,3,12.39,0.0,0.23,63.67,63.9
Belagavi,2022,4,50.03,12.39,0.0,0.23,12.619999999999999
Belagavi,2022,5,68.26,50.03,12.39,0.0,62.42
Belagavi,2022,6,257.24,68.26,50.03,12.39,130.68
Belagavi,2022,7,509.97,257.24,68.26,50.03,375.53
Belagavi,2022,8,340.32,509.97,257.24,68.26,835.47
Belagavi,2022,9,243.02,340.32,509.97,257.24,1107.53
Belagavi,2022,10,160.19,243.02,340.32,509.97,1093.31
Belagavi,2022,11,2.19,160.19,243.02,340.32,743.53
Belagavi,2022,12,3.93,2.19,160.19,243.02,405.4
Belagavi,2023,1,0.02,3.93,2.19,160.19,166.31
Belagavi,2023,2,0.0,0.02,3.93,2.19,6.140000000000000
Belagavi,2023,3,0.05,0.0,0.02,3.93,3.95
Belagavi,2023,4,12.14,0.05,0.0,0.02,0.07
Belagavi,2023,5,32.34,12.14,0.05,0.0,12.190000000000000
Belagavi,2023,6,129.46,32.34,12.14,0.05,44.53
Belagavi,2023,7,715.38,129.46,32.34,12.14,173.94
Belagavi,2023,8,99.44,715.38,129.46,32.34,877.1799999999999
Belagavi,2023,9,198.56,99.44,715.38,129.46,944.28
Belagavi,2023,10,37.2,198.56,99.44,715.38,1013.38
Belagavi,2023,11,30.76,37.2,198.56,99.44,335.2
Belagavi,2023,12,0.82,30.76,37.2,198.56,266.52
Belagavi,2024,1,3.1,0.82,30.76,37.2,68.78
Belagavi,2024,2,0.0,3.1,0.82,30.76,34.68
Belagavi,2024,3,0.21,0.0,3.1,0.82,3.92
Belagavi,2024,4,47.02,0.21,0.0,3.1,3.31
Belagavi,2024,5,76.21,47.02,0.21,0.0,47.229999999999997
Belagavi,2024,6,368.08,76.21,47.02,0.21,123.44000000000000
Belagavi,2024,7,937.57,368.08,76.21,47.02,491.31000000000000
Belagavi,2024,8,364.65,937.57,368.08,76.21,1381.8599999999999
Belagavi,2024,9,291.38,364.65,937.57,368.08,1670.3
Belagavi,2024,10,325.1,291.38,364.65,937.57,1593.6
Belagavi,2024,11,6.35,325.1,291.38,364.65,981.13
Belagavi,2024,12,8.83,6.35,325.1,291.38,622.83
Belagavi,2025,1,0.0,8.83,6.35,325.1,340.27999999999997
Belagavi,2025,2,0.06,0.0,8.83,6.35,15.18
Belagavi,2025,3,4.17,0.06,0.0,8.83,8.89
Belagavi,2025,4,35.28,4.17,0.06,0.0,4.2300000000000004
Belagavi,2025,5,845.4,35.28,4.17,0.06,39.509999999999998
Belagavi,2025,7,447.6,845.4,35.28,4.17,884.8500000000000
Belagavi,2025,8,897.56,447.6,845.4,35.28,1328.28
Belagavi,2025,9,438.92,897.56,447.6,845.4,2190.56
Belagavi,2025,10,394.94,438.92,897.56,447.6,1784.08
Belagavi,2025,11,344.47,394.94,438.92,897.56,1731.42
Belagavi,2025,12,156.96,344.47,394.94,438.92,1178.3299999999999
Belagavi,2026,1,148.48,156.96,344.47,394.94,896.3700000000000
Belagavi,2026,2,139.72,148.48,156.96,344.47,649.9100000000000
